account_number,birth,occupation,account_date,state,city,address_date,level,total_boleto,num_boleto,total_pix_enviado,num_pix_enviado,total_pix_recebido,num_pix_recebido,paid,num_paid,unpaid,num_unpaid
155938,1984-10-29 00:00:00,Outros,2021-04-01 02:30:00,RJ,Carmo,2021-04-01 02:30:00,F,3424.5,30,10166.92,15,7546.86,30,3424.5,30,4313.96,39
747007,1977-03-26 00:00:00,Corretor,2021-04-01 02:00:00,MG,Bertopolis,2021-04-01 02:00:00,D,3752.56,113,6252.27,10,5667.75,113,3752.56,113,5126.67,153
208404,1984-01-26 00:00:00,Analista,2021-04-01 11:30:00,MG,Olaria,2021-04-01 11:30:00,,3497.47,64,11756.02,8,8606.34,64,3497.47,64,4262.41,79
66402,1982-06-30 00:00:00,Investidor,2021-04-01 14:30:00,PR,Icaraima,2021-04-01 14:30:00,D,13410.64,184,13211.93,5,12214.23,184,13410.64,184,2474.59,33
277012,1967-01-11 00:00:00,Outros,2021-04-02 15:30:00,ES,Ecoporanga,2021-04-02 15:30:00,D,4553.9,90,11536.44,9,7967.32,90,4553.9,90,5695.8,112
228213,1983-11-29 00:00:00,Analista,2021-04-02 05:00:00,BA,Gaviao,2021-04-02 05:00:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
108762,1982-10-15 00:00:00,Analista,2021-04-02 12:30:00,ES,Cachoeiro de Itapemirim,2021-04-02 12:30:00,,8461.48,167,11492.3,13,3564.95,167,8461.48,167,2144.95,42
309054,1990-01-07 00:00:00,Desenvolvedor,2021-04-02 15:00:00,RJ,Mesquita,2021-04-02 15:00:00,,12992.86,350,38475.66,54,26919.36,350,12992.86,350,14257.14,385
89836,1981-07-04 00:00:00,Investidor,2021-04-02 15:30:00,PR,Marechal Candido Rondon,2021-04-02 15:30:00,,26013.81,482,79773.09,45,55448.19,482,26013.81,482,10203.35,190
343595,1982-11-06 00:00:00,Analista,2021-04-02 03:30:00,RJ,Barra do Pirai,2021-04-02 03:30:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
760897,1995-05-26 00:00:00,Desenvolvedor,2021-04-03 14:30:00,GO,Cocalzinho de Goias,2021-04-03 14:30:00,C,8687.45,147,16124.99,11,10138.18,147,8687.45,147,6172.2,104
10621,1993-02-05 00:00:00,Investidor,2021-04-03 13:30:00,RJ,Italva,2021-04-03 13:30:00,F,1346.17,16,7086.27,16,6178.58,16,1346.17,16,3890.11,45
222177,1991-05-19 00:00:00,Investidor,2021-04-03 06:00:00,RJ,Sao Fidelis,2021-04-03 06:00:00,F,6579.84,76,8787.26,11,2733.06,76,6579.84,76,3661.72,43
454867,1979-08-22 00:00:00,Outros,2021-04-03 15:00:00,RJ,Porto Real,2021-04-03 15:00:00,C,8500.52,167,21661.84,17,15580.15,167,8500.52,167,3457.68,69
842594,1970-05-15 00:00:00,Investidor,2021-04-03 17:00:00,MG,Novo Cruzeiro,2021-04-03 17:00:00,A,37829.15,386,124986.05,41,96453.65,386,37829.15,386,28585.08,291
63383,1987-01-12 00:00:00,Outros,2021-04-04 07:30:00,RJ,Cardoso Moreira,2021-04-04 07:30:00,D,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
81331,1985-03-12 00:00:00,Analista,2021-04-04 14:00:00,MG,Carmo do Rio Claro,2021-04-04 14:00:00,C,1752.53,26,11329.52,12,10910.5,26,1752.53,26,2568.13,39
871021,1985-10-21 00:00:00,Investidor,2021-04-04 20:30:00,RJ,Nova Iguacu,2021-04-04 20:30:00,F,4209.5,47,20279.07,20,16646.03,47,4209.5,47,2719.08,30
803613,1967-01-10 00:00:00,Desenvolvedor,2021-04-04 03:00:00,PR,Terra Boa,2021-04-04 03:00:00,C,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
66561,1987-11-04 00:00:00,Outros,2021-04-04 04:00:00,RJ,Miguel Pereira,2021-04-04 04:00:00,F,3674.59,37,9218.97,15,7114.91,37,3674.59,37,3306.31,34
